2.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/2.0.3/org.wso2.maven.registry-2.0.3.jar returned status 404
2.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/2.1.0/org.wso2.maven.registry-2.1.0.jar returned status 404
5.2.30		2020-11-06T10:48:09Z	
5.2.31		2020-12-07T05:58:18Z	
5.2.32		2021-01-07T05:42:01Z	
5.2.33		2021-01-27T11:36:29Z	
5.2.34		2021-02-02T13:53:02Z	
5.2.35		2021-03-25T10:00:13Z	
5.2.36		2021-05-14T10:12:13Z	
5.2.37		2021-08-20T10:35:43Z	
5.2.38		2021-09-07T08:24:58Z	
5.2.39		2022-11-29T07:46:23Z	
5.2.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.40/org.wso2.maven.registry-5.2.40.jar returned status 404
5.2.41		2023-01-18T07:47:30Z	
5.2.42		2023-01-26T04:14:46Z	
5.2.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.43/org.wso2.maven.registry-5.2.43.jar returned status 404
5.2.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.44/org.wso2.maven.registry-5.2.44.jar returned status 404
5.2.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.45/org.wso2.maven.registry-5.2.45.jar returned status 404
5.2.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.46/org.wso2.maven.registry-5.2.46.jar returned status 404
5.2.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.47/org.wso2.maven.registry-5.2.47.jar returned status 404
5.2.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.48/org.wso2.maven.registry-5.2.48.jar returned status 404
5.2.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.49/org.wso2.maven.registry-5.2.49.jar returned status 404
5.2.50		2024-04-22T06:52:12Z	
5.2.51		2024-04-22T07:20:00Z	
5.2.52		2024-06-06T03:03:54Z	
5.2.53		2024-06-11T10:24:20Z	
5.2.54		2024-06-12T10:22:38Z	
5.2.55		2024-06-17T03:29:41Z	
5.2.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.56/org.wso2.maven.registry-5.2.56.jar returned status 404
5.2.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.57/org.wso2.maven.registry-5.2.57.jar returned status 404
5.2.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/maven/org.wso2.maven.registry/5.2.58/org.wso2.maven.registry-5.2.58.jar returned status 404
