3.0.2	automatic	org.jvnet.jaxb	jaxb-plugins-runtime
2.0.15	automatic	org.jvnet.jaxb	jaxb2-basics-runtime
2.0.14	automatic	org.jvnet.jaxb	jaxb2-basics-runtime
2.0.13	automatic	org.jvnet.jaxb	jaxb2-basics-runtime
2.0.12	automatic	org.jvnet.jaxb	jaxb2-basics-runtime
