1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.0.0/bella-openapi-1.0.0.jar returned status 404
1.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.0/bella-openapi-1.1.0.jar returned status 404
1.1.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.11/bella-openapi-1.1.11.jar returned status 404
1.1.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.12/bella-openapi-1.1.12.jar returned status 404
1.1.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.20/bella-openapi-1.1.20.jar returned status 404
1.1.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.21/bella-openapi-1.1.21.jar returned status 404
1.1.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.47/bella-openapi-1.1.47.jar returned status 404
1.1.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.48/bella-openapi-1.1.48.jar returned status 404
1.1.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.49/bella-openapi-1.1.49.jar returned status 404
1.1.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.56/bella-openapi-1.1.56.jar returned status 404
1.1.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.57/bella-openapi-1.1.57.jar returned status 404
1.1.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.58/bella-openapi-1.1.58.jar returned status 404
1.1.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.60/bella-openapi-1.1.60.jar returned status 404
1.1.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.62/bella-openapi-1.1.62.jar returned status 404
1.1.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.63/bella-openapi-1.1.63.jar returned status 404
1.1.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.64/bella-openapi-1.1.64.jar returned status 404
1.1.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.65/bella-openapi-1.1.65.jar returned status 404
1.1.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.66/bella-openapi-1.1.66.jar returned status 404
1.1.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.67/bella-openapi-1.1.67.jar returned status 404
1.1.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.68/bella-openapi-1.1.68.jar returned status 404
1.1.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.69/bella-openapi-1.1.69.jar returned status 404
1.1.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.74/bella-openapi-1.1.74.jar returned status 404
1.1.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.75/bella-openapi-1.1.75.jar returned status 404
1.1.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.76/bella-openapi-1.1.76.jar returned status 404
1.1.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.8/bella-openapi-1.1.8.jar returned status 404
1.1.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.1.81/bella-openapi-1.1.81.jar returned status 404
1.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.0/bella-openapi-1.2.0.jar returned status 404
1.2.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.1/bella-openapi-1.2.1.jar returned status 404
1.2.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.10/bella-openapi-1.2.10.jar returned status 404
1.2.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.12/bella-openapi-1.2.12.jar returned status 404
1.2.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.13/bella-openapi-1.2.13.jar returned status 404
1.2.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.15/bella-openapi-1.2.15.jar returned status 404
1.2.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.16/bella-openapi-1.2.16.jar returned status 404
1.2.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.17/bella-openapi-1.2.17.jar returned status 404
1.2.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.20/bella-openapi-1.2.20.jar returned status 404
1.2.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.21/bella-openapi-1.2.21.jar returned status 404
1.2.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.23/bella-openapi-1.2.23.jar returned status 404
1.2.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.34/bella-openapi-1.2.34.jar returned status 404
1.2.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.37/bella-openapi-1.2.37.jar returned status 404
1.2.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.5/bella-openapi-1.2.5.jar returned status 404
1.2.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/top/bella/bella-openapi/1.2.6/bella-openapi-1.2.6.jar returned status 404
