com.fasterxml.jackson.datatype	allowed
ai.onehouse	blocked
ai.superstream	blocked
com.atlan	blocked
com.github.shynixn.minikeyvaluestore	blocked
com.guoshiyao.rely	blocked
com.jwebmp.jackson.datatype	blocked
com.jwebmp.jpms.jackson.datatype	blocked
com.microsoft.azure	blocked
com.networknt	blocked
com.palantir.atlasdb	blocked
com.tencent.cloud	blocked
de.m3y.parquet	blocked
hu.webarticum.miniconnect	blocked
io.bdeploy	blocked
io.edurt.datacap	blocked
io.floodplain	blocked
io.github.demiourgoi	blocked
io.github.marquezproject	blocked
io.github.origin-energy	blocked
io.github.oss-slu	blocked
io.github.tansuasici	blocked
io.github.unmeshjoshi	blocked
io.kestra.plugin	blocked
io.keyko.monitoring	blocked
io.mantisrx	blocked
io.micronaut.example	blocked
io.openlineage	blocked
io.opentelemetry.javaagent	blocked
io.trino	blocked
net.lz1998	blocked
org.apache.beam	blocked
org.apache.grails	blocked
org.apache.parquet	blocked
org.ic4j	blocked
se.ikama	blocked
