2.0.8	named	org.apache.iotdb	mqtt	2026-04-10T02:24:25Z	2.0.73.Final
2.0.10	named	org.apache.iotdb	mqtt	2026-07-03T12:46:31Z	2.0.77.Final
2.0.11	named	org.apache.iotdb	mqtt	2026-09-07T16:18:01Z	2.0.77.Final
