0.21	net.clementlevallois.functions	umigon-tokenizer	0.21
0.20	net.clementlevallois.functions	umigon-tokenizer	0.20
0.19	net.clementlevallois.functions	umigon-tokenizer	0.19
0.18	net.clementlevallois.functions	umigon-tokenizer	0.18
0.17	net.clementlevallois.functions	umigon-tokenizer	0.17
0.16	net.clementlevallois.functions	umigon-tokenizer	0.16
0.15	net.clementlevallois.functions	umigon-tokenizer	0.15
0.14	net.clementlevallois.functions	umigon-tokenizer	0.14
0.13	net.clementlevallois.functions	umigon-tokenizer	0.13
0.11	net.clementlevallois.functions	umigon-tokenizer	0.11
0.10	net.clementlevallois.functions	umigon-tokenizer	0.10
