0.1.2-b0	named	ai.whylabs	whylogs-java-spark_2.12	2021-02-09T02:51:45Z	2.10.0
1.0.0	named	com.bisnode.kafka.authorization	opa-authorizer	2021-03-29T09:03:16Z	2.10.5
1.1.0	named	com.bisnode.kafka.authorization	opa-authorizer	2021-08-11T13:08:30Z	2.10.5
1.2.0	named	com.bisnode.kafka.authorization	opa-authorizer	2021-10-12T11:45:45Z	2.10.5
1.3.0	named	org.openpolicyagent.kafka	opa-authorizer	2021-11-24T13:59:03Z	2.10.5
1.4.0	named	org.openpolicyagent.kafka	opa-authorizer	2022-01-11T06:57:16Z	2.10.5
