0.1.14	named	io.github.anmol023	jslt	2026-03-17T09:24:57Z	3.0.3
0.3.0	named	io.github.dfa1.typesafe-java	typesafe-java-cli	2026-09-20T20:26:18Z	3.0.0
0.4.0	named	io.github.dfa1.typesafe-java	typesafe-java-cli	2026-09-21T06:46:27Z	3.0.0
