1.3.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/pearx/kasechange/kasechange-macosx64/1.3.0/kasechange-macosx64-1.3.0.jar returned status 404
1.4.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/pearx/kasechange/kasechange-macosx64/1.4.1/kasechange-macosx64-1.4.1.jar returned status 404
1.4.1	metadata	2023-05-09T19:58:15Z	
