3.0.0-beta.4	named	com.github.nbbrd.sdmx-dl	sdmx-dl-cli	2021-10-21T14:22:18Z	
1.1.0	named	com.github.nbbrd.sasquatch	sasquatch-cli	2024-09-03T09:53:24Z	4.7.6
1.1.1	named	com.github.nbbrd.sasquatch	sasquatch-cli	2025-03-06T10:44:14Z	4.7.6
1.1.2	named	com.github.nbbrd.sasquatch	sasquatch-cli	2026-06-17T09:01:03Z	4.7.7
