1.0.2	named	dev.prokop.crypto	crypto-bips	2022-08-13T17:08:21Z	
4.6.0	named	fr.inria.corese	corese-command	2025-04-11T15:52:26Z	4.7.6
4.6.1	named	fr.inria.corese	corese-command	2025-06-17T15:47:43Z	4.7.6
4.6.2	named	fr.inria.corese	corese-command	2025-08-01T14:54:33Z	4.7.6
