com.sun.xml.bind	allowed
at.researchstudio.sat	rejected
br.com.swconsultoria	rejected
com.airbus-cyber-security.graylog	rejected
com.alibaba.compileflow	rejected
com.bandwidth.sdk	rejected
com.eternitywall	rejected
com.exasol	rejected
com.github.cafapi	rejected
com.github.robozonky.distribution	rejected
com.google.tsunami	rejected
com.helger.schematron	rejected
com.hortonworks.registries	rejected
com.intuit.quickbooks-online	rejected
com.liferay	rejected
de.ipk-gatersleben	rejected
de.julielab	rejected
de.viadee	rejected
edu.iris.dmc	rejected
eu.fbk.dh	rejected
gov.nasa.pds	rejected
int.esa.ccsds.mo	rejected
io.bluebank.braid	rejected
io.github.azagniotov	rejected
io.github.harvies.charon	rejected
net.corda	rejected
one.gfw	rejected
org.duracloud	rejected
org.glassfish.jaxb	rejected
org.icij.extract	rejected
org.jboss.windup.web	rejected
org.mustangproject	rejected
org.opengis.cite	rejected
org.rundeck.rd	rejected
org.xtce	rejected
uk.bl.wa.discovery	rejected
