3.0.2	named	org.opengis	geoapi
3.0.0-BETA	named	org.apache.tika	tika-parser-scientific-package
2.9.1	named	org.apache.tika	tika-parser-scientific-package
2.9.0	named	org.apache.tika	tika-parser-scientific-package
2.8.0	named	org.apache.tika	tika-parser-scientific-package
