3.0.2	named	org.opengis	geoapi	2023-01-24T19:13:07Z	3.0.2
2.8.0	named	org.apache.tika	tika-parser-scientific-package	2023-05-11T19:36:42Z	3.0.2
2.9.0	named	org.apache.tika	tika-parser-scientific-package	2023-08-23T14:19:32Z	3.0.2
2.9.1	named	org.apache.tika	tika-parser-scientific-package	2023-10-17T10:42:40Z	3.0.2
3.0.0-BETA	named	org.apache.tika	tika-parser-scientific-package	2023-12-01T16:46:11Z	3.0.2
