0.100.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/multipaz/multipaz-utopia-iosarm64/0.100.0/multipaz-utopia-iosarm64-0.100.0.jar returned status 404
0.99.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/multipaz/multipaz-utopia-iosarm64/0.99.0/multipaz-utopia-iosarm64-0.99.0.jar returned status 404
0.99.0	metadata	2026-05-04T22:39:58Z	
