1.3.10	automatic	net.ssehub.easy	net.ssehub.easy.instantiation.aspectj
1.3.5	automatic	net.ssehub.easy.instantiation	aspectj
1.3.4	automatic	net.ssehub.easy.instantiation	aspectj
1.3.3	automatic	net.ssehub.easy.instantiation	aspectj
1.3.2	automatic	net.ssehub.easy.instantiation	aspectj
