0.25.1	com.github.gv2011	util-swing	0.25.1
0.25	com.github.gv2011	util-swing	0.25
0.17	com.github.gv2011	util-swing	0.17
0.14	com.github.gv2011	util-swing	0.14
0.13	com.github.gv2011	util-swing	0.13
