0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.1/kroom-common-watchosx64-0.1.jar returned status 404
0.1	metadata	2025-12-05T08:30:54Z	
0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.10/kroom-common-watchosx64-0.10.jar returned status 404
0.10	metadata	2026-02-20T12:55:07Z	
0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.11/kroom-common-watchosx64-0.11.jar returned status 404
0.11	metadata	2026-02-24T12:04:00Z	
0.12		2026-06-04T23:57:30Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.12/kroom-common-watchosx64-0.12.jar returned status 404
0.12	metadata	2026-06-04T23:57:29Z	
0.13		2026-06-09T08:40:38Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.13/kroom-common-watchosx64-0.13.jar returned status 404
0.13	metadata	2026-06-09T08:40:38Z	
0.14		2026-06-09T12:12:16Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.14/kroom-common-watchosx64-0.14.jar returned status 404
0.14	metadata	2026-06-09T12:12:16Z	
0.15		2026-06-10T10:00:49Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.15/kroom-common-watchosx64-0.15.jar returned status 404
0.15	metadata	2026-06-10T10:00:48Z	
0.16		2026-06-11T13:41:22Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.16/kroom-common-watchosx64-0.16.jar returned status 404
0.16	metadata	2026-06-11T13:41:22Z	
0.17		2026-06-12T07:16:04Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.17/kroom-common-watchosx64-0.17.jar returned status 404
0.17	metadata	2026-06-12T07:16:04Z	
0.18		2026-06-13T09:51:47Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.18/kroom-common-watchosx64-0.18.jar returned status 404
0.18	metadata	2026-06-13T09:51:47Z	
0.19		2026-06-18T19:37:28Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.19/kroom-common-watchosx64-0.19.jar returned status 404
0.19	metadata	2026-06-18T19:37:27Z	
0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.2/kroom-common-watchosx64-0.2.jar returned status 404
0.2	metadata	2025-12-08T09:36:08Z	
0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.3/kroom-common-watchosx64-0.3.jar returned status 404
0.3	metadata	2026-01-24T08:09:38Z	
0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.4/kroom-common-watchosx64-0.4.jar returned status 404
0.4	metadata	2026-01-24T11:52:30Z	
0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.5/kroom-common-watchosx64-0.5.jar returned status 404
0.5	metadata	2026-01-25T17:26:05Z	
0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.6/kroom-common-watchosx64-0.6.jar returned status 404
0.6	metadata	2026-01-27T03:46:03Z	
0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.7/kroom-common-watchosx64-0.7.jar returned status 404
0.7	metadata	2026-02-04T11:45:07Z	
0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.8/kroom-common-watchosx64-0.8.jar returned status 404
0.8	metadata	2026-02-06T07:30:33Z	
0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/republicate/kroom/kroom-common-watchosx64/0.9/kroom-common-watchosx64-0.9.jar returned status 404
0.9	metadata	2026-02-07T19:21:25Z	
