org.yaml	allowed
be.cylab	blocked
cl.franciscosolis.dev	blocked
co.bitshifted.appforge	blocked
com.4paradigm.openmldb	blocked
com.alibaba.otter	blocked
com.alibaba.ververica	blocked
com.appdynamics	blocked
com.arcmutate	blocked
com.datadoghq	blocked
com.genestack	blocked
com.google.cloud	blocked
com.groupcdg.arcmutate	blocked
com.hazelcast.jet	blocked
com.huaweicloud.sdk	blocked
com.huaweicloud.sermant	blocked
com.huntercodexs	blocked
com.javonet	blocked
com.limemojito.oss.spring-boot.development-test	blocked
com.limemojito.oss.standards	blocked
com.limemojito.oss.standards.development-test	blocked
com.nvidia	blocked
com.pulsaride	blocked
com.scivicslab	blocked
com.scivicslab.turingworkflow.plugins	blocked
com.sparkutils	blocked
com.sportradar.unifiedodds.sdk	blocked
com.uchicom	blocked
de.alphaomega-it.aomultiverse	blocked
de.alphaomega-it.wooeconomy	blocked
de.bsommerfeld	blocked
de.bsommerfeld.jshepherd	blocked
de.m3y.prometheus.exporter.fsimage	blocked
dev.domkss	blocked
dev.feit	blocked
dev.leoborges	blocked
io.acryl.prometheus.jmx	blocked
io.elsci.api-mocks	blocked
io.github.dailystruggle	blocked
io.github.easypeel-security	blocked
io.github.gaius-qi	blocked
io.github.gethertv	blocked
io.github.michaljonko	blocked
io.github.milkdrinkers	blocked
io.github.mrtesz	blocked
io.github.nadberezny	blocked
io.github.snake-yaml	blocked
io.github.spah1879	blocked
io.kestra.plugin	blocked
io.micronaut.testresources	blocked
io.mybatis.rui	blocked
io.prometheus.jmx	blocked
io.sermant	blocked
io.swagger	blocked
io.vertigo	blocked
io.vertx	blocked
io.yupiik	blocked
net.blockdynasty	blocked
net.datafaker	blocked
net.hasor	blocked
nl.basjes.parse.useragent	blocked
nl.praegus	blocked
org.antublue.verifyica	blocked
org.apache.flink	blocked
org.apache.phoenix	blocked
org.apache.pinot	blocked
org.apache.storm	blocked
org.bspfsystems	blocked
org.conductoross	blocked
org.easypeelsecurity	blocked
org.eclipse.ecsp	blocked
org.geepawhill	blocked
org.gov4j.thirdparty.org.yaml	blocked
org.grails	blocked
org.moditect.layrry	blocked
org.nocrala	blocked
org.noear	blocked
org.wso2.carbon.callhome	blocked
org.wso2.carbon.secvault	blocked
org.wso2.orbit.io.confluent	blocked
top.mrxiaom.pluginbase	blocked
