1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.1/standard-project-parent-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.10/standard-project-parent-1.0.10.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.11/standard-project-parent-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.12/standard-project-parent-1.0.12.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.13/standard-project-parent-1.0.13.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.14/standard-project-parent-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.15/standard-project-parent-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.16/standard-project-parent-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.17/standard-project-parent-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.18/standard-project-parent-1.0.18.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.19/standard-project-parent-1.0.19.jar returned status 404
1.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.2/standard-project-parent-1.0.2.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.20/standard-project-parent-1.0.20.jar returned status 404
1.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.21/standard-project-parent-1.0.21.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.22/standard-project-parent-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.23/standard-project-parent-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.24/standard-project-parent-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.25/standard-project-parent-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.26/standard-project-parent-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.27/standard-project-parent-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.28/standard-project-parent-1.0.28.jar returned status 404
1.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.29/standard-project-parent-1.0.29.jar returned status 404
1.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.3/standard-project-parent-1.0.3.jar returned status 404
1.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.30/standard-project-parent-1.0.30.jar returned status 404
1.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.31/standard-project-parent-1.0.31.jar returned status 404
1.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.33/standard-project-parent-1.0.33.jar returned status 404
1.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.34/standard-project-parent-1.0.34.jar returned status 404
1.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.35/standard-project-parent-1.0.35.jar returned status 404
1.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.36/standard-project-parent-1.0.36.jar returned status 404
