1.4.0	named	io.micronaut.example	micronaut-graphql-example-todo-spqr	2020-08-24T07:59:54Z	2.10.3
0.0.1	named	com.araksis.sjd	sjd	2025-03-21T07:23:19Z	2.18.2
0.0.1a	named	com.araksis	sjd	2025-03-23T21:23:11Z	2.18.2
