3.0.2	named	de.ipk-gatersleben	eDAL-MetaDataAPI-Client	2020-07-02T06:23:49Z	
0.32	named	de.fraunhofer.iosb.ilt	ConfigurableExampleAnnotations	2022-03-02T13:54:46Z	
0.33	named	de.fraunhofer.iosb.ilt	ConfigurableExampleAnnotations	2022-03-11T21:56:28Z	
0.34	named	de.fraunhofer.iosb.ilt	ConfigurableExampleAnnotations	2023-01-16T14:40:50Z	19
0.35	named	de.fraunhofer.iosb.ilt	ConfigurableExampleAnnotations	2024-02-19T17:25:16Z	21.0.2
0.36	named	de.fraunhofer.iosb.ilt	ConfigurableExampleAnnotations	2024-09-16T17:12:57Z	22.0.2
0.37	named	de.fraunhofer.iosb.ilt	ConfigurableExampleAnnotations	2025-05-22T12:00:01Z	22.0.2
