1.0.1.RELEASE		2021-11-13T16:34:31Z	
1.0.2.RELEASE		2021-11-24T00:47:48Z	
1.0.3.RELEASE		2021-11-25T01:09:06Z	
1.0.4-alpha-1		2021-11-28T07:06:12Z	
1.0.4.RELEASE		2021-11-30T13:37:49Z	
1.0.5.2.RELEASE		2021-12-03T02:18:06Z	
1.0.5.RELEASE		2021-12-02T20:35:02Z	
1.0.6.RELEASE		2021-12-06T05:18:38Z	
1.0.7-alpha-1		2021-12-07T10:33:59Z	
1.0.7.RELEASE		2021-12-08T02:28:19Z	
1.10.10.1.RELEASE		2021-12-09T12:23:40Z	
1.10.12.1.RELEASE		2021-12-13T07:19:10Z	
1.10.12.2.RELEASE		2021-12-16T12:57:02Z	
1.10.12.3-alpha-1		2021-12-20T10:49:48Z	
1.10.12.3-alpha-2		2021-12-20T13:46:38Z	
1.10.12.3-alpha-3		2021-12-21T08:06:04Z	
1.10.12.3-alpha-4		2021-12-22T15:41:53Z	
1.10.12.3.RELEASE		2021-12-23T16:25:30Z	
1.10.12.4.RELEASE		2021-12-28T08:48:29Z	
1.10.9.2.RELEASE		2021-12-08T12:48:25Z	
1.11.13.2.RELEASE		2022-01-03T13:02:19Z	
1.11.13.3.RELEASE		2022-01-12T01:23:10Z	
1.11.13.4.RELEASE		2022-01-24T13:33:24Z	
1.11.13.5.RELEASE		2022-01-26T03:17:45Z	
