0.10.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.1/mapmaid-bom-0.10.1.jar returned status 404
0.10.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.10/mapmaid-bom-0.10.10.jar returned status 404
0.10.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.11/mapmaid-bom-0.10.11.jar returned status 404
0.10.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.12/mapmaid-bom-0.10.12.jar returned status 404
0.10.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.13/mapmaid-bom-0.10.13.jar returned status 404
0.10.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.14/mapmaid-bom-0.10.14.jar returned status 404
0.10.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.15/mapmaid-bom-0.10.15.jar returned status 404
0.10.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.16/mapmaid-bom-0.10.16.jar returned status 404
0.10.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.17/mapmaid-bom-0.10.17.jar returned status 404
0.10.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.18/mapmaid-bom-0.10.18.jar returned status 404
0.10.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.19/mapmaid-bom-0.10.19.jar returned status 404
0.10.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.2/mapmaid-bom-0.10.2.jar returned status 404
0.10.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.3/mapmaid-bom-0.10.3.jar returned status 404
0.10.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.4/mapmaid-bom-0.10.4.jar returned status 404
0.10.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.6/mapmaid-bom-0.10.6.jar returned status 404
0.10.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.7/mapmaid-bom-0.10.7.jar returned status 404
0.10.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.8/mapmaid-bom-0.10.8.jar returned status 404
0.10.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.10.9/mapmaid-bom-0.10.9.jar returned status 404
0.9.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.100/mapmaid-bom-0.9.100.jar returned status 404
0.9.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.102/mapmaid-bom-0.9.102.jar returned status 404
0.9.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.103/mapmaid-bom-0.9.103.jar returned status 404
0.9.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.104/mapmaid-bom-0.9.104.jar returned status 404
0.9.105			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.105/mapmaid-bom-0.9.105.jar returned status 404
0.9.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.106/mapmaid-bom-0.9.106.jar returned status 404
0.9.107			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.107/mapmaid-bom-0.9.107.jar returned status 404
0.9.108			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.108/mapmaid-bom-0.9.108.jar returned status 404
0.9.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.109/mapmaid-bom-0.9.109.jar returned status 404
0.9.110			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.110/mapmaid-bom-0.9.110.jar returned status 404
0.9.111			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.111/mapmaid-bom-0.9.111.jar returned status 404
0.9.112			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.112/mapmaid-bom-0.9.112.jar returned status 404
0.9.113			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.113/mapmaid-bom-0.9.113.jar returned status 404
0.9.19		2020-03-13T14:59:23Z	
0.9.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/quantummaid/mapmaid/mapmaid-bom/0.9.20/mapmaid-bom-0.9.20.jar returned status 404
