1.2.0	named	com.github.massamany	wiremockcsv	2025-08-26T13:42:47Z	33.4.8-jre
5.100.0	named	org.finos.legend.pure	legend-pure-mcp-server	2026-09-14T18:16:22Z	33.4.6-jre
5.101.0	named	org.finos.legend.pure	legend-pure-mcp-server	2026-09-15T19:46:45Z	33.4.6-jre
5.102.0	named	org.finos.legend.pure	legend-pure-mcp-server	2026-09-17T10:57:17Z	33.4.6-jre
5.103.0	named	org.finos.legend.pure	legend-pure-mcp-server	2026-09-17T12:12:25Z	33.4.6-jre
