com.google.guava	allowed
com.alibaba.ververica	rejected
com.brightsparklabs	rejected
com.github.lafa.cache	rejected
com.github.linlinisme	rejected
com.github.massamany	rejected
com.google.cloud.flink	rejected
com.guicedee.services	rejected
com.jcabi	rejected
com.kroegerama.openapi-kgen	rejected
de.m3y.prometheus.exporter.fsimage	rejected
dev.ikm.jpms	rejected
dev.snowdrop.openrewrite	rejected
dev.vortex	rejected
dev.walgo	rejected
io.acryl	rejected
io.dazzleduck.sql	rejected
io.digiexpress	rejected
io.github.bdezonia	rejected
io.github.chainie	rejected
io.github.davidwhitlock.joy.original	rejected
io.github.erroraway	rejected
io.github.gvergine	rejected
io.github.jbock-java	rejected
io.github.katsuhisamaruyama	rejected
io.github.lemonjuice95	rejected
io.github.unknowntpo	rejected
io.javelit	rejected
io.jeamlit	rejected
io.littlehorse	rejected
io.minio	rejected
io.orkes.conductor	rejected
io.restx	rejected
io.telicent	rejected
io.yki.sapply	rejected
io.zonky.test	rejected
it.neckar.open	rejected
lv.ailab.morphology	rejected
net.sourceforge.plantuml	rejected
one.jpro.platform.jpms	rejected
org.apache.calcite.avatica	rejected
org.apache.flink	rejected
org.apache.hadoop	rejected
org.apache.hadoop.thirdparty	rejected
org.apache.hbase	rejected
org.apache.hbase.thirdparty	rejected
org.apache.iceberg	rejected
org.apache.jackrabbit	rejected
org.apache.kyuubi	rejected
org.apache.phoenix	rejected
org.apache.phoenix.thirdparty	rejected
org.apache.pinot	rejected
org.apache.sedona	rejected
org.apache.sling	rejected
org.apache.spark	rejected
org.checkerframework.annotatedlib	rejected
org.codeforamerica.platform	rejected
org.conductoross	rejected
org.exploit	rejected
org.foundationdb	rejected
org.jboss.shrinkwrap.resolver	rejected
org.maurodata	rejected
org.opendaylight.aaa	rejected
org.opendaylight.controller	rejected
org.opendaylight.yangtools	rejected
org.projectnessie.nessie	rejected
org.protelis	rejected
org.soot-oss	rejected
org.talend.sdk.component.sample.feature	rejected
org.weakref	rejected
org.wiremock	rejected
