0.3.7	named	io.github.bdezonia	zorbage-viewer	2025-07-14T01:11:54Z	33.4.8-jre
1.0.0	named	com.jcabi	jcabi-s3	2026-02-04T19:38:17Z	33.5.0-jre
1.1.0	named	com.jcabi	jcabi-s3	2026-02-05T05:47:07Z	33.5.0-jre
1.1.0	named	com.jcabi	jcabi-dynamo	2026-02-05T15:04:28Z	33.5.0-jre
1.2.4	named	org.soot-oss	heros	2026-02-12T15:57:30Z	33.5.0-jre
1.2.5	named	org.soot-oss	heros	2026-03-19T12:00:23Z	33.5.0-jre
2.5.15	named	lv.ailab.morphology	tagger	2026-04-07T22:31:06Z	33.5.0-jre
2.5.15	named	lv.ailab.morphology	webservices	2026-04-07T22:37:58Z	33.5.0-jre
2.202603.0	named	lv.ailab.morphology	tagger	2026-06-16T12:36:44Z	33.5.0-jre
2.202603.0	named	lv.ailab.morphology	webservices	2026-06-16T12:46:14Z	33.5.0-jre
