2.0.3	automatic	io.alapierre.crypto	digital-signature-xades
1.17	automatic	io.alapierre.crypto	digital-signature
1.16	automatic	io.alapierre.crypto	digital-signature
1.15	automatic	io.alapierre.crypto	digital-signature
1.14	automatic	io.alapierre.crypto	digital-signature
1.13	automatic	io.alapierre.crypto	digital-signature
1.12	automatic	io.alapierre.crypto	digital-signature
1.11	automatic	io.alapierre.crypto	digital-signature
1.10	automatic	io.alapierre.crypto	digital-signature
1.9	automatic	io.alapierre.crypto	digital-signature
1.7	automatic	io.alapierre.crypto	digital-signature
1.6	automatic	io.alapierre.crypto	digital-signature
1.5	automatic	io.alapierre.crypto	digital-signature
1.1	automatic	io.alapierre.crypto	digital-signature
1.0	automatic	io.alapierre.crypto	digital-signature
