1.60	bayern.steinbrecher	Wizard	1.60
1.59	bayern.steinbrecher	Wizard	1.59
1.58	bayern.steinbrecher	Wizard	1.58
1.57	bayern.steinbrecher	Wizard	1.57
1.56	bayern.steinbrecher	Wizard	1.56
1.55	bayern.steinbrecher	Wizard	1.55
1.54	bayern.steinbrecher	Wizard	1.54
1.53	bayern.steinbrecher	Wizard	1.53
1.52	bayern.steinbrecher	Wizard	1.52
1.51	bayern.steinbrecher	Wizard	1.51
1.50	bayern.steinbrecher	Wizard	1.50
1.49	bayern.steinbrecher	Wizard	1.49
1.48	bayern.steinbrecher	Wizard	1.48
1.47	bayern.steinbrecher	Wizard	1.47
1.46	bayern.steinbrecher	Wizard	1.46
1.45	bayern.steinbrecher	Wizard	1.45
1.44	bayern.steinbrecher	Wizard	1.44
1.43	bayern.steinbrecher	Wizard	1.43
1.42	bayern.steinbrecher	Wizard	1.42
1.41	bayern.steinbrecher	Wizard	1.41
1.40	bayern.steinbrecher	Wizard	1.40
1.39	bayern.steinbrecher	Wizard	1.39
1.38	bayern.steinbrecher	Wizard	1.38
1.37	bayern.steinbrecher	Wizard	1.37
1.36	bayern.steinbrecher	Wizard	1.36
1.35	bayern.steinbrecher	Wizard	1.35
1.34	bayern.steinbrecher	Wizard	1.34
1.33	bayern.steinbrecher	Wizard	1.33
1.32	bayern.steinbrecher	Wizard	1.32
1.31	bayern.steinbrecher	Wizard	1.31
1.30	bayern.steinbrecher	Wizard	1.30
1.29	bayern.steinbrecher	Wizard	1.29
1.28	bayern.steinbrecher	Wizard	1.28
1.27	bayern.steinbrecher	Wizard	1.27
1.26	bayern.steinbrecher	Wizard	1.26
1.25	bayern.steinbrecher	Wizard	1.25
1.24	bayern.steinbrecher	Wizard	1.24
1.23	bayern.steinbrecher	Wizard	1.23
1.22	bayern.steinbrecher	Wizard	1.22
1.21	bayern.steinbrecher	Wizard	1.21
1.20	bayern.steinbrecher	Wizard	1.20
1.19	bayern.steinbrecher	Wizard	1.19
1.18	bayern.steinbrecher	Wizard	1.18
1.17	bayern.steinbrecher	Wizard	1.17
1.16	bayern.steinbrecher	Wizard	1.16
1.15	bayern.steinbrecher	Wizard	1.15
1.14	bayern.steinbrecher	Wizard	1.14
1.13	bayern.steinbrecher	Wizard	1.13
1.12	bayern.steinbrecher	Wizard	1.12
1.11	bayern.steinbrecher	Wizard	1.11
1.10	bayern.steinbrecher	Wizard	1.10
1.9	bayern.steinbrecher	Wizard	1.9
1.8	bayern.steinbrecher	Wizard	1.8
1.7	bayern.steinbrecher	Wizard	1.7
1.6	bayern.steinbrecher	Wizard	1.6
