1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.0/com.liferay.portal.web-1.0.0.jar returned status 404
1.0.0	jsp	2016-12-28T23:36:15Z	
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.1/com.liferay.portal.web-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.10/com.liferay.portal.web-1.0.10.jar returned status 404
1.0.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.100/com.liferay.portal.web-1.0.100.jar returned status 404
1.0.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.101/com.liferay.portal.web-1.0.101.jar returned status 404
1.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.102/com.liferay.portal.web-1.0.102.jar returned status 404
1.0.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.103/com.liferay.portal.web-1.0.103.jar returned status 404
1.0.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.104/com.liferay.portal.web-1.0.104.jar returned status 404
1.0.105			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.105/com.liferay.portal.web-1.0.105.jar returned status 404
1.0.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.106/com.liferay.portal.web-1.0.106.jar returned status 404
1.0.107			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.107/com.liferay.portal.web-1.0.107.jar returned status 404
1.0.108			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.108/com.liferay.portal.web-1.0.108.jar returned status 404
1.0.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.109/com.liferay.portal.web-1.0.109.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.11/com.liferay.portal.web-1.0.11.jar returned status 404
1.0.110			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.110/com.liferay.portal.web-1.0.110.jar returned status 404
1.0.111			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.111/com.liferay.portal.web-1.0.111.jar returned status 404
1.0.112			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.112/com.liferay.portal.web-1.0.112.jar returned status 404
1.0.113			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.113/com.liferay.portal.web-1.0.113.jar returned status 404
1.0.114			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.114/com.liferay.portal.web-1.0.114.jar returned status 404
1.0.115			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.115/com.liferay.portal.web-1.0.115.jar returned status 404
1.0.116			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.116/com.liferay.portal.web-1.0.116.jar returned status 404
1.0.117			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.117/com.liferay.portal.web-1.0.117.jar returned status 404
1.0.118			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.118/com.liferay.portal.web-1.0.118.jar returned status 404
1.0.119			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.119/com.liferay.portal.web-1.0.119.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/portal/com.liferay.portal.web/1.0.12/com.liferay.portal.web-1.0.12.jar returned status 404
