1.5.3	automatic	com.telenav.thirdparty	zookeeper
1.5.2	automatic	com.telenav.kivakit	kivakit-merged-zookeeper
1.5.1	automatic	com.telenav.kivakit	kivakit-merged-zookeeper
1.5.0	automatic	com.telenav.kivakit	kivakit-merged-zookeeper
1.4.2	automatic	com.telenav.kivakit	kivakit-merged-zookeeper
