1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.0/sdk-terminal-library-openpay-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.1/sdk-terminal-library-openpay-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.10/sdk-terminal-library-openpay-1.0.10.jar returned status 404
1.0.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.100/sdk-terminal-library-openpay-1.0.100.jar returned status 404
1.0.101		2026-05-19T19:15:45Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.101/sdk-terminal-library-openpay-1.0.101.jar returned status 404
1.0.102		2026-05-25T23:23:02Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.102/sdk-terminal-library-openpay-1.0.102.jar returned status 404
1.0.103		2026-06-11T16:51:40Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.103/sdk-terminal-library-openpay-1.0.103.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.11/sdk-terminal-library-openpay-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.12/sdk-terminal-library-openpay-1.0.12.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.13/sdk-terminal-library-openpay-1.0.13.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.14/sdk-terminal-library-openpay-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.15/sdk-terminal-library-openpay-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.16/sdk-terminal-library-openpay-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.17/sdk-terminal-library-openpay-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.18/sdk-terminal-library-openpay-1.0.18.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.19/sdk-terminal-library-openpay-1.0.19.jar returned status 404
1.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.2/sdk-terminal-library-openpay-1.0.2.jar returned status 404
