org.joda	allowed
com.codacy	rejected
com.expedia.www	rejected
com.expediagroup	rejected
com.vmlens	rejected
eu.xenit.care4alf	rejected
net.enilink.bundles	rejected
org.camunda.bpm.extension.feel.scala	rejected
org.playframework.anorm	rejected
za.co.absa	rejected
