2024.7.1	org.nasdanika.html	site-generator-maven-plugin	2024.7.1
2024.7.0	org.nasdanika.html	site-generator-maven-plugin	2024.7.0
2024.6.0	org.nasdanika.html	site-generator-maven-plugin	2024.6.0
2024.5.1	org.nasdanika.html	site-generator-maven-plugin	2024.5.1
2024.5.0	org.nasdanika.html	site-generator-maven-plugin	2024.5.0
2024.4.0	org.nasdanika.html	site-generator-maven-plugin	2024.4.0
2024.3.0	org.nasdanika.html	site-generator-maven-plugin	2024.3.0
2024.1.0	org.nasdanika.html	site-generator-maven-plugin	2024.1.0
2023.12.1	org.nasdanika.html	site-generator-maven-plugin	2023.12.1
2023.12.0	org.nasdanika.html	site-generator-maven-plugin	2023.12.0
2023.10.0	org.nasdanika.html	site-generator-maven-plugin	2023.10.0
2023.9.2	org.nasdanika.html	site-generator-maven-plugin	2023.9.2
2023.9.1	org.nasdanika.html	site-generator-maven-plugin	2023.9.1
2023.9.0	org.nasdanika.html	site-generator-maven-plugin	2023.9.0
2023.8.0	org.nasdanika.html	site-generator-maven-plugin	2023.8.0
2023.4.0	org.nasdanika.html	site-generator-maven-plugin	2023.4.0
2023.3.0	org.nasdanika.html	site-generator-maven-plugin	2023.3.0
2023.2.2	org.nasdanika.html	site-generator-maven-plugin	2023.2.2
2023.2.1	org.nasdanika.html	site-generator-maven-plugin	2023.2.1
2023.2.0	org.nasdanika.html	site-generator-maven-plugin	2023.2.0
2023.1.3	org.nasdanika.html	site-generator-maven-plugin	2023.1.3
2023.1.2	org.nasdanika.html	site-generator-maven-plugin	2023.1.2
2023.1.1	org.nasdanika.html	site-generator-maven-plugin	2023.1.1
