org.bouncycastle	allowed
berlin.yuna	rejected
com.danielflower.apprunner	rejected
com.google.gerrit	rejected
com.google.gsp.samples	rejected
com.squareup.keywhiz	rejected
de.unkrig.yaml-patch	rejected
de.unkrig.zz	rejected
io.kestra.plugin	rejected
io.scalecube	rejected
org.redline-rpm	rejected
org.sonarsource.scm.git	rejected
org.vafer	rejected
org.whitesource	rejected
pl.allegro.tech.build	rejected
pl.touk	rejected
