0.5.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/reduxkotlin/redux-kotlin-thunk-tvosx64/0.5.5/redux-kotlin-thunk-tvosx64-0.5.5.jar returned status 404
0.6.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/reduxkotlin/redux-kotlin-thunk-tvosx64/0.6.0/redux-kotlin-thunk-tvosx64-0.6.0.jar returned status 404
0.6.0	metadata	2023-01-29T23:15:59Z	
