tech.units	allowed
com.github.ie3-institute	blocked
com.io7m.bodyrecomp	blocked
de.fraunhofer.iosb.ilt	blocked
io.github.ci-cmg.wod	blocked
io.github.ignf	blocked
io.moia	blocked
io.pcp.agentparfait	blocked
org.datasyslab	blocked
org.entur	blocked
org.locationtech.geomesa	blocked
org.opentripplanner	blocked
