com.zaxxer	allowed
app.cash.backfila	rejected
cc.carm.lib	rejected
cn.handyplus.lib	rejected
cn.qaiu	rejected
cn.tenmg	rejected
com.aliyun.schedulerx	rejected
com.c0x12c.featureflag	rejected
com.dmetasoul	rejected
com.enos-iot	rejected
com.epam.drill	rejected
com.erudika	rejected
com.github.akarazhev	rejected
com.github.bld-commons	rejected
com.github.caoyuhub	rejected
com.github.database-rider	rejected
com.github.susom	rejected
com.groupress	rejected
com.inventage.keycloak.database-userstorage	rejected
com.oceanbase	rejected
com.palantir.atlasdb	rejected
com.scalar-labs	rejected
com.streamxhub.streamx	rejected
com.tencent.bk.base.datahub	rejected
com.ververica	rejected
com.vjh0107.barcode	rejected
eu.kennytv.maintenance	rejected
eu.toop	rejected
fr.blueberry-studio.hermes	rejected
fr.milekat	rejected
games.cultivate	rejected
io.adboss	rejected
io.gitee.yuyuejia	rejected
io.github.4drian3d	rejected
io.github.bad-pop	rejected
io.github.changebooks	rejected
io.github.deathgod7	rejected
io.github.dreamvoid	rejected
io.github.flow-engine	rejected
io.github.kaleert	rejected
io.github.noobdogcloud	rejected
io.github.quiethappiness	rejected
io.github.semperetante	rejected
io.github.yusufsdiscordbot	rejected
io.higson	rejected
io.tidb	rejected
it.unibz.inf.ontop	rejected
me.yleoft	rejected
net.kishax.api	rejected
org.aincraft	rejected
org.apache.dolphinscheduler	rejected
org.apache.flink	rejected
org.apache.hudi	rejected
org.apache.inlong	rejected
org.apache.kylin	rejected
org.apache.seatunnel	rejected
org.apache.storm	rejected
org.appops	rejected
org.beigesoft	rejected
org.dromara	rejected
org.finos.legend.depot	rejected
org.finos.legend.engine	rejected
org.finos.legend.engine.ide.lsp	rejected
org.finos.legend.sdlc	rejected
org.finos.legend.shared	rejected
org.kill-bill.billing	rejected
org.linqs	rejected
org.odpi.egeria	rejected
org.opengauss	rejected
org.quickfixj	rejected
org.sonatype.nexus	rejected
org.testingisdocumenting.webtau	rejected
pl.decerto	rejected
run.mone	rejected
solutions.a2.oracle	rejected
tech.carcadex	rejected
tr.com.infumia	rejected
work.noice	rejected
