5.0.1	named	it.unibz.inf.ontop	ontop-protege-dependencies	2023-01-29T12:29:59Z	
2.3.11	named	org.apache.seatunnel	seatunnel-hikari	2025-05-21T22:31:18Z	4.0.3
2.3.12	named	org.apache.seatunnel	seatunnel-hikari	2025-09-06T02:39:41Z	4.0.3
2.3.13	named	org.apache.seatunnel	seatunnel-hikari	2026-02-17T11:07:49Z	4.0.3
