2.2.7	org.jruby.joni	joni	2.2.7
2.2.6	org.jruby.joni	joni	2.2.6
2.2.5	org.jruby.joni	joni	2.2.5
2.2.4	org.jruby.joni	joni	2.2.4
2.2.3	org.jruby.joni	joni	2.2.3
2.2.2	org.jruby.joni	joni	2.2.2
2.2.1	org.jruby.joni	joni	2.2.1
2.2.0	org.jruby.joni	joni	2.2.0
2.1.48	org.jruby.joni	joni	2.1.48
2.1.47	org.jruby.joni	joni	2.1.47
2.1.46	org.jruby.joni	joni	2.1.46
2.1.45	org.jruby.joni	joni	2.1.45
2.1.44	org.jruby.joni	joni	2.1.44
2.1.43	org.jruby.joni	joni	2.1.43
2.1.42	org.jruby.joni	joni	2.1.42
2.1.41	org.jruby.joni	joni	2.1.41
2.1.40	org.jruby.joni	joni	2.1.40
2.1.39	org.jruby.joni	joni	2.1.39
2.1.38	org.jruby.joni	joni	2.1.38
2.1.37	org.jruby.joni	joni	2.1.37
2.1.36	org.jruby.joni	joni	2.1.36
2.1.35	org.jruby.joni	joni	2.1.35
2.1.34	org.jruby.joni	joni	2.1.34
2.1.33	org.jruby.joni	joni	2.1.33
2.1.32	org.jruby.joni	joni	2.1.32
2.1.31	org.jruby.joni	joni	2.1.31
2.1.30	org.jruby.joni	joni	2.1.30
2.1.29	org.jruby.joni	joni	2.1.29
2.1.28	org.jruby.joni	joni	2.1.28
2.1.27	org.jruby.joni	joni	2.1.27
2.1.26	org.jruby.joni	joni	2.1.26
2.1.25	org.jruby.joni	joni	2.1.25
2.1.24	org.jruby.joni	joni	2.1.24
2.1.23	org.jruby.joni	joni	2.1.23
2.1.21	org.jruby.joni	joni	2.1.21
2.1.20	org.jruby.joni	joni	2.1.20
