org.springframework	allowed
com.liferay	blocked
com.succsoft	blocked
io.github.redteamobile	blocked
io.github.tfedyanin.springframework	blocked
net.xdob.springframework	blocked
org.gov4j.thirdparty.org.springframework	blocked
