0.3.2	space.iseki.ktxser	ktxser-jvm	0.3.2
0.3	space.iseki.ktxser	ktxser-jvm	0.3
0.2	space.iseki.ktxser	ktxser	0.2
0.1	space.iseki.ktxser	ktxser	0.1
