1.3.0	net.kyori	examination-api	1.3.0
1.1	io.github.zerog228	UseflessLibrary	1.1
1.0	io.github.zerog228	UseflessLibrary	1.0
1.0.0	io.github.zerog228	UseflessLibrary	1.0.0
