1.2.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.22/digger-cli-js-1.2.22.jar returned status 404
1.2.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.23/digger-cli-js-1.2.23.jar returned status 404
1.2.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.24/digger-cli-js-1.2.24.jar returned status 404
1.2.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.25/digger-cli-js-1.2.25.jar returned status 404
1.2.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.26/digger-cli-js-1.2.26.jar returned status 404
1.2.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.27/digger-cli-js-1.2.27.jar returned status 404
1.2.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.28/digger-cli-js-1.2.28.jar returned status 404
1.2.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.29/digger-cli-js-1.2.29.jar returned status 404
1.2.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.3/digger-cli-js-1.2.3.jar returned status 404
1.2.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.30/digger-cli-js-1.2.30.jar returned status 404
1.2.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.31/digger-cli-js-1.2.31.jar returned status 404
1.2.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.32/digger-cli-js-1.2.32.jar returned status 404
1.2.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.33/digger-cli-js-1.2.33.jar returned status 404
1.2.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.34/digger-cli-js-1.2.34.jar returned status 404
1.2.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.36/digger-cli-js-1.2.36.jar returned status 404
1.2.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.4/digger-cli-js-1.2.4.jar returned status 404
1.2.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.5/digger-cli-js-1.2.5.jar returned status 404
1.2.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/zegreatrob/tools/digger-cli-js/1.2.6/digger-cli-js-1.2.6.jar returned status 404
