2.1.0.CR1	named	io.quarkiverse.roq	quarkus-roq-cli	2026-04-13T23:39:31Z	4.2.12.Final
10.1.0	named	org.frankframework	frankframework-kubernetes	2026-04-23T14:13:49Z	4.2.12.Final
10.1.1	named	org.frankframework	frankframework-kubernetes	2026-07-15T10:06:02Z	4.2.12.Final
10.2.0	named	org.frankframework	frankframework-kubernetes	2026-07-17T10:55:22Z	4.2.16.Final
