4.4.8	named	net.sf.xsd2pgschema	xsd2pgschema	2023-09-29T02:52:23Z	1.24.0
7.0.261	named	com.codenameone	codenameone-javase-svg	2026-07-24T10:10:20Z	1.27.1
7.0.261	named	com.codenameone	codenameone-javase	2026-07-24T10:10:22Z	1.27.1
7.0.262	named	com.codenameone	codenameone-javase-svg	2026-07-25T01:40:53Z	1.27.1
7.0.262	named	com.codenameone	codenameone-javase	2026-07-25T01:40:55Z	1.27.1
7.0.263	named	com.codenameone	codenameone-javase	2026-07-25T18:04:56Z	1.27.1
7.0.263	named	com.codenameone	codenameone-javase-svg	2026-07-25T18:04:58Z	1.27.1
