0.2.11-0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ealva/musicinfo/0.2.11-0/musicinfo-0.2.11-0.jar returned status 404
0.2.12-0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ealva/musicinfo/0.2.12-0/musicinfo-0.2.12-0.jar returned status 404
0.2.15-0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ealva/musicinfo/0.2.15-0/musicinfo-0.2.15-0.jar returned status 404
0.2.15-0	debug-javadoc	2022-04-27T18:03:18Z	
0.2.15-0	debug-sources	2022-04-27T18:03:12Z	
0.2.15-0	release-javadoc	2022-04-27T18:03:15Z	
0.2.15-0	release-sources	2022-04-27T18:03:14Z	
0.2.3-0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ealva/musicinfo/0.2.3-0/musicinfo-0.2.3-0.jar returned status 404
0.2.5-0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ealva/musicinfo/0.2.5-0/musicinfo-0.2.5-0.jar returned status 404
