0.6.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/jakewharton/picnic/picnic-watchosx86/0.6.0/picnic-watchosx86-0.6.0.jar returned status 404
0.7.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/jakewharton/picnic/picnic-watchosx86/0.7.0/picnic-watchosx86-0.7.0.jar returned status 404
0.7.0	metadata	2023-08-30T16:38:00Z	
