0.6.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/jakewharton/picnic/picnic-watchosarm64/0.6.0/picnic-watchosarm64-0.6.0.jar returned status 404
0.7.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/jakewharton/picnic/picnic-watchosarm64/0.7.0/picnic-watchosarm64-0.7.0.jar returned status 404
0.7.0	metadata	2023-08-30T16:37:55Z	
