0.185	named	org.reaktivity	nukleus-tls
0.184	named	org.reaktivity	nukleus-tls
0.183	named	org.reaktivity	nukleus-tls
0.182	named	org.reaktivity	nukleus-tls
0.181	named	org.reaktivity	nukleus-tls
0.180	named	org.reaktivity	nukleus-tls
0.179	named	org.reaktivity	nukleus-tls
0.178	named	org.reaktivity	nukleus-tls
0.177	named	org.reaktivity	nukleus-tls
0.176	named	org.reaktivity	nukleus-tls
0.175	named	org.reaktivity	nukleus-tls
0.174	named	org.reaktivity	nukleus-tls
0.173	named	org.reaktivity	nukleus-tls
0.172	automatic	org.reaktivity	nukleus-tls
0.171	automatic	org.reaktivity	nukleus-tls
0.170	automatic	org.reaktivity	nukleus-tls
0.169	automatic	org.reaktivity	nukleus-tls
0.168	automatic	org.reaktivity	nukleus-tls
0.167	automatic	org.reaktivity	nukleus-tls
0.166	automatic	org.reaktivity	nukleus-tls
0.165	automatic	org.reaktivity	nukleus-tls
0.164	automatic	org.reaktivity	nukleus-tls
0.163	automatic	org.reaktivity	nukleus-tls
0.162	automatic	org.reaktivity	nukleus-tls
0.161	automatic	org.reaktivity	nukleus-tls
0.160	automatic	org.reaktivity	nukleus-tls
0.159	automatic	org.reaktivity	nukleus-tls
0.158	automatic	org.reaktivity	nukleus-tls
0.157	automatic	org.reaktivity	nukleus-tls
0.156	automatic	org.reaktivity	nukleus-tls
0.155	automatic	org.reaktivity	nukleus-tls
0.154	automatic	org.reaktivity	nukleus-tls
0.153	automatic	org.reaktivity	nukleus-tls
0.152	automatic	org.reaktivity	nukleus-tls
0.151	automatic	org.reaktivity	nukleus-tls
0.150	automatic	org.reaktivity	nukleus-tls
0.149	automatic	org.reaktivity	nukleus-tls
0.148	automatic	org.reaktivity	nukleus-tls
0.147	automatic	org.reaktivity	nukleus-tls
0.146	automatic	org.reaktivity	nukleus-tls
0.145	automatic	org.reaktivity	nukleus-tls
0.144	automatic	org.reaktivity	nukleus-tls
0.143	automatic	org.reaktivity	nukleus-tls
0.142	automatic	org.reaktivity	nukleus-tls
0.141	automatic	org.reaktivity	nukleus-tls
0.140	automatic	org.reaktivity	nukleus-tls
0.139	automatic	org.reaktivity	nukleus-tls
0.138	automatic	org.reaktivity	nukleus-tls
0.137	automatic	org.reaktivity	nukleus-tls
0.136	automatic	org.reaktivity	nukleus-tls
0.135	automatic	org.reaktivity	nukleus-tls
0.134	automatic	org.reaktivity	nukleus-tls
0.133	automatic	org.reaktivity	nukleus-tls
0.132	automatic	org.reaktivity	nukleus-tls
0.131	automatic	org.reaktivity	nukleus-tls
0.130	automatic	org.reaktivity	nukleus-tls
0.129	automatic	org.reaktivity	nukleus-tls
0.128	automatic	org.reaktivity	nukleus-tls
0.127	automatic	org.reaktivity	nukleus-tls
0.126	automatic	org.reaktivity	nukleus-tls
0.125	automatic	org.reaktivity	nukleus-tls
0.124	automatic	org.reaktivity	nukleus-tls
0.123	automatic	org.reaktivity	nukleus-tls
0.122	automatic	org.reaktivity	nukleus-tls
0.121	automatic	org.reaktivity	nukleus-tls
0.120	automatic	org.reaktivity	nukleus-tls
0.119	automatic	org.reaktivity	nukleus-tls
0.118	automatic	org.reaktivity	nukleus-tls
0.117	automatic	org.reaktivity	nukleus-tls
0.116	automatic	org.reaktivity	nukleus-tls
0.115	automatic	org.reaktivity	nukleus-tls
0.114	automatic	org.reaktivity	nukleus-tls
0.113	automatic	org.reaktivity	nukleus-tls
0.112	automatic	org.reaktivity	nukleus-tls
0.111	automatic	org.reaktivity	nukleus-tls
0.110	automatic	org.reaktivity	nukleus-tls
0.109	automatic	org.reaktivity	nukleus-tls
0.108	automatic	org.reaktivity	nukleus-tls
0.107	automatic	org.reaktivity	nukleus-tls
0.106	automatic	org.reaktivity	nukleus-tls
0.105	automatic	org.reaktivity	nukleus-tls
0.104	automatic	org.reaktivity	nukleus-tls
0.103	automatic	org.reaktivity	nukleus-tls
0.102	automatic	org.reaktivity	nukleus-tls
0.101	automatic	org.reaktivity	nukleus-tls
0.100	automatic	org.reaktivity	nukleus-tls
0.99	automatic	org.reaktivity	nukleus-tls
0.98	automatic	org.reaktivity	nukleus-tls
0.97	automatic	org.reaktivity	nukleus-tls
