com.google.errorprone	allowed
au.com.integradev.samples	blocked
ch.fritteli.a-maze-r	blocked
com.amazonaws	blocked
com.clickzetta	blocked
com.contentful.java	blocked
com.facebook.presto	blocked
com.github.mizosoft.methanol	blocked
com.google.appengine	blocked
com.google.auto.value	blocked
com.google.cloud	blocked
com.google.cloud.spark.bigtable	blocked
com.google.turbine	blocked
com.nickrobison	blocked
com.palantir.hadoop-crypto2	blocked
com.salesforce.multicloudj	blocked
com.scalekit	blocked
com.telamin.fluxtion	blocked
com.telesign	blocked
de.enflexit.awbAssist	blocked
de.m3y.hadoop.hdfs.hfsa	blocked
eu.rssw.sonar.openedge	blocked
fr.lirmm.graphik	blocked
io.edurt.datacap	blocked
io.github.davidwhitlock.joy.original	blocked
io.github.eisop	blocked
io.github.erroraway	blocked
io.github.flozano	blocked
io.github.katsuhisamaruyama	blocked
io.github.littleproxy	blocked
io.github.liveontologies	blocked
io.github.opentelekomcloud	blocked
io.github.sogis	blocked
io.okdp	blocked
io.openlineage	blocked
io.opentelemetry.contrib	blocked
io.trino	blocked
io.zipkin.zipkin2	blocked
net.md-5	blocked
net.sizovs	blocked
net.sourceforge.plantuml	blocked
net.tlabs-data	blocked
no.entur	blocked
org.apache.calcite.avatica	blocked
org.apache.ozone	blocked
org.apache.pinot	blocked
org.apache.seatunnel	blocked
org.apache.spark	blocked
org.apache.tika	blocked
org.checkerframework	blocked
org.foundationdb	blocked
org.hyperledger.fabric	blocked
org.noear	blocked
org.opendaylight.aaa	blocked
org.opendaylight.controller	blocked
org.opendaylight.jsonrpc	blocked
org.opendaylight.yangtools	blocked
org.springframework.pulsar	blocked
