0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.1/kmp-ui-kit-android-debug-0.0.1.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.2/kmp-ui-kit-android-debug-0.0.2.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.21/kmp-ui-kit-android-debug-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.22/kmp-ui-kit-android-debug-0.0.22.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.23/kmp-ui-kit-android-debug-0.0.23.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.24/kmp-ui-kit-android-debug-0.0.24.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.25/kmp-ui-kit-android-debug-0.0.25.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.26/kmp-ui-kit-android-debug-0.0.26.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.27/kmp-ui-kit-android-debug-0.0.27.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.28/kmp-ui-kit-android-debug-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.29/kmp-ui-kit-android-debug-0.0.29.jar returned status 404
0.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.30/kmp-ui-kit-android-debug-0.0.30.jar returned status 404
0.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android-debug/0.0.31/kmp-ui-kit-android-debug-0.0.31.jar returned status 404
