0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.1/kmp-ui-kit-android-0.0.1.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.2/kmp-ui-kit-android-0.0.2.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.21/kmp-ui-kit-android-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.22/kmp-ui-kit-android-0.0.22.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.23/kmp-ui-kit-android-0.0.23.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.24/kmp-ui-kit-android-0.0.24.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.25/kmp-ui-kit-android-0.0.25.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.26/kmp-ui-kit-android-0.0.26.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.27/kmp-ui-kit-android-0.0.27.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.28/kmp-ui-kit-android-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.29/kmp-ui-kit-android-0.0.29.jar returned status 404
0.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.30/kmp-ui-kit-android-0.0.30.jar returned status 404
0.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.31/kmp-ui-kit-android-0.0.31.jar returned status 404
0.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.32/kmp-ui-kit-android-0.0.32.jar returned status 404
0.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.33/kmp-ui-kit-android-0.0.33.jar returned status 404
0.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.34/kmp-ui-kit-android-0.0.34.jar returned status 404
0.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.35/kmp-ui-kit-android-0.0.35.jar returned status 404
0.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.36/kmp-ui-kit-android-0.0.36.jar returned status 404
0.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.37/kmp-ui-kit-android-0.0.37.jar returned status 404
0.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.38/kmp-ui-kit-android-0.0.38.jar returned status 404
0.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.39/kmp-ui-kit-android-0.0.39.jar returned status 404
0.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.40/kmp-ui-kit-android-0.0.40.jar returned status 404
0.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.41/kmp-ui-kit-android-0.0.41.jar returned status 404
0.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.42/kmp-ui-kit-android-0.0.42.jar returned status 404
0.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.44/kmp-ui-kit-android-0.0.44.jar returned status 404
0.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.45/kmp-ui-kit-android-0.0.45.jar returned status 404
0.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.46/kmp-ui-kit-android-0.0.46.jar returned status 404
0.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.47/kmp-ui-kit-android-0.0.47.jar returned status 404
0.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.48/kmp-ui-kit-android-0.0.48.jar returned status 404
0.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.49/kmp-ui-kit-android-0.0.49.jar returned status 404
0.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.50/kmp-ui-kit-android-0.0.50.jar returned status 404
0.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.51/kmp-ui-kit-android-0.0.51.jar returned status 404
0.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.52/kmp-ui-kit-android-0.0.52.jar returned status 404
0.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.53/kmp-ui-kit-android-0.0.53.jar returned status 404
0.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.54/kmp-ui-kit-android-0.0.54.jar returned status 404
0.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.55/kmp-ui-kit-android-0.0.55.jar returned status 404
0.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.56/kmp-ui-kit-android-0.0.56.jar returned status 404
0.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.57/kmp-ui-kit-android-0.0.57.jar returned status 404
0.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.58/kmp-ui-kit-android-0.0.58.jar returned status 404
0.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/simapps/kmp-ui-kit-android/0.0.59/kmp-ui-kit-android-0.0.59.jar returned status 404
