org.openjfx	allowed
com.robotaccomplice	blocked
de.pirckheimer-gymnasium	blocked
de.wenzlaff.twbibel	blocked
io.github.makbn	blocked
org.glavo.hmcl.openjfx	blocked
org.jfxcore	blocked
