0.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.0/org.openprojectx.karate.gradle.gradle.plugin-0.1.0.jar returned status 404
0.1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.1/org.openprojectx.karate.gradle.gradle.plugin-0.1.1.jar returned status 404
0.1.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.10/org.openprojectx.karate.gradle.gradle.plugin-0.1.10.jar returned status 404
0.1.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.11/org.openprojectx.karate.gradle.gradle.plugin-0.1.11.jar returned status 404
0.1.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.12/org.openprojectx.karate.gradle.gradle.plugin-0.1.12.jar returned status 404
0.1.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.13/org.openprojectx.karate.gradle.gradle.plugin-0.1.13.jar returned status 404
0.1.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.14/org.openprojectx.karate.gradle.gradle.plugin-0.1.14.jar returned status 404
0.1.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.15/org.openprojectx.karate.gradle.gradle.plugin-0.1.15.jar returned status 404
0.1.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.16/org.openprojectx.karate.gradle.gradle.plugin-0.1.16.jar returned status 404
0.1.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.17/org.openprojectx.karate.gradle.gradle.plugin-0.1.17.jar returned status 404
0.1.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.18/org.openprojectx.karate.gradle.gradle.plugin-0.1.18.jar returned status 404
0.1.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.19/org.openprojectx.karate.gradle.gradle.plugin-0.1.19.jar returned status 404
0.1.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.2/org.openprojectx.karate.gradle.gradle.plugin-0.1.2.jar returned status 404
0.1.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.20/org.openprojectx.karate.gradle.gradle.plugin-0.1.20.jar returned status 404
0.1.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.21/org.openprojectx.karate.gradle.gradle.plugin-0.1.21.jar returned status 404
0.1.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.22/org.openprojectx.karate.gradle.gradle.plugin-0.1.22.jar returned status 404
0.1.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.23/org.openprojectx.karate.gradle.gradle.plugin-0.1.23.jar returned status 404
0.1.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.24/org.openprojectx.karate.gradle.gradle.plugin-0.1.24.jar returned status 404
0.1.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.25/org.openprojectx.karate.gradle.gradle.plugin-0.1.25.jar returned status 404
0.1.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.26/org.openprojectx.karate.gradle.gradle.plugin-0.1.26.jar returned status 404
0.1.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.27/org.openprojectx.karate.gradle.gradle.plugin-0.1.27.jar returned status 404
0.1.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.28/org.openprojectx.karate.gradle.gradle.plugin-0.1.28.jar returned status 404
0.1.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.29/org.openprojectx.karate.gradle.gradle.plugin-0.1.29.jar returned status 404
0.1.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.3/org.openprojectx.karate.gradle.gradle.plugin-0.1.3.jar returned status 404
0.1.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.30/org.openprojectx.karate.gradle.gradle.plugin-0.1.30.jar returned status 404
0.1.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.31/org.openprojectx.karate.gradle.gradle.plugin-0.1.31.jar returned status 404
0.1.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.32/org.openprojectx.karate.gradle.gradle.plugin-0.1.32.jar returned status 404
0.1.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.33/org.openprojectx.karate.gradle.gradle.plugin-0.1.33.jar returned status 404
0.1.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.34/org.openprojectx.karate.gradle.gradle.plugin-0.1.34.jar returned status 404
0.1.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.35/org.openprojectx.karate.gradle.gradle.plugin-0.1.35.jar returned status 404
0.1.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.36/org.openprojectx.karate.gradle.gradle.plugin-0.1.36.jar returned status 404
