3.0.0-alpha.19	named	de.griefed	serverpackcreator	2022-02-02T14:02:48Z	2.8.9
1.3.0	named	dev.speakeasyapi	speakeasy-java-sdk	2022-11-01T13:42:30Z	2.9.1
1.3.1	named	dev.speakeasyapi	speakeasy-java-sdk	2022-11-23T14:43:17Z	2.9.1
1.3.2	named	dev.speakeasyapi	speakeasy-java-sdk	2023-02-24T14:55:59Z	2.9.1
