1.7	automatic	software.amazon	flow	2018-11-13T22:53:41Z	
1.0.0	automatic	software.amazon.eventstream	eventstream	2019-04-22T22:14:49Z	
1.0.1	automatic	software.amazon.eventstream	eventstream	2019-05-02T00:13:45Z	
