1.1.0	named	com.github.snksoft	crc	2022-11-06T09:43:50Z	
1.0.0	named	org.jurr.java.omniusb	omniusb-mock-tests	2026-06-01T21:09:00Z	
1.0.1	named	org.jurr.java.omniusb	omniusb-mock-tests	2026-06-15T18:45:09Z	
1.0.2	named	org.jurr.java.omniusb	omniusb-mock-tests	2026-07-29T00:23:12Z	
