org.jetbrains	allowed
beer.devs	blocked
cn.afternode.mc	blocked
co.virtual-verse	blocked
com.adobe.aem.guides	blocked
com.alibaba.polardbx	blocked
com.amazonaws	blocked
com.danielflower.apprunner	blocked
com.datasiqn	blocked
com.deathmotion	blocked
com.deathmotion.foliascheduler	blocked
com.expediagroup	blocked
com.footprintcat.frostiot	blocked
com.github.alfonsoLeandro	blocked
com.github.labai.utils	blocked
com.hivemq	blocked
com.kinetica	blocked
com.kraftics	blocked
com.localhost22	blocked
com.microsoft.azure.kusto	blocked
com.palantir.hadoop-crypto2	blocked
com.qcloud.cos	blocked
com.querydsl	blocked
com.spygstudios	blocked
de.alphaomega-it.wooeconomy	blocked
de.jvstvshd.necrify	blocked
de.splatgames.aether	blocked
de.tubyoub	blocked
de.uni-mannheim.informatik.dws	blocked
de.uni-mannheim.informatik.dws.melt	blocked
dev.dejvokep	blocked
dev.lightdream	blocked
dev.linwood	blocked
dev.mayuna	blocked
dev.sefiraat	blocked
dev.truewinter	blocked
eu.lilithmonodia	blocked
eu.nordtal	blocked
io.deephaven	blocked
io.github.alepandocr	blocked
io.github.charles-grozny.pluginlib	blocked
io.github.croabeast	blocked
io.github.dailystruggle	blocked
io.github.happybavarian07	blocked
io.github.hshmaker	blocked
io.github.lijinhong11	blocked
io.github.maxwainer	blocked
io.github.mqzn	blocked
io.github.nbauma109	blocked
io.github.openfeign.querydsl	blocked
io.github.pro4d	blocked
io.github.raghul-tech	blocked
io.github.rysefoxx	blocked
io.github.shmilyjxs	blocked
io.github.suduide	blocked
io.github.thedisappearingdandelion	blocked
io.github.wand555	blocked
io.github.yusufsdiscordbot	blocked
io.streamthoughts	blocked
io.trino	blocked
lol.hyper	blocked
me.bechberger	blocked
me.bechberger.jfr	blocked
net.analyse	blocked
net.bonn2	blocked
net.crimsonmc	blocked
net.orbyfied.aspen	blocked
nl.praegus	blocked
org.apache.ignite	blocked
org.bspfsystems	blocked
org.bspfsystems.bungeeipc	blocked
org.exploit	blocked
org.f14a	blocked
org.jam4s	blocked
org.tallison.tika	blocked
systems.manifold	blocked
tech.guilhermekaua.spigot-boot	blocked
uk.gov.justice.service.laa-crime	blocked
works.nuka	blocked
xyz.wasabicodes	blocked
