2.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/weicools/fluent-view/2.0.0/fluent-view-2.0.0.jar returned status 404
2.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/weicools/fluent-view/2.0.1/fluent-view-2.0.1.jar returned status 404
2.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/weicools/fluent-view/2.0.2/fluent-view-2.0.2.jar returned status 404
2.0.2	debug-javadoc	2023-03-22T10:07:06Z	
2.0.2	debug-sources	2023-03-22T10:07:13Z	
2.0.2	release-javadoc	2023-03-22T10:07:45Z	
2.0.2	release-sources	2023-03-22T10:07:43Z	
