1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/gitee/archermind-ti/easing-interpolator_ohos/1.0.0/easing-interpolator_ohos-1.0.0.jar returned status 404
1.0.0 beta 1			IllegalArgumentException: Illegal character in path at index 54: com/gitee/archermind-ti/easing-interpolator_ohos/1.0.0 beta 1/easing-interpolator_ohos-1.0.0 beta 1.jar
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/gitee/archermind-ti/easing-interpolator_ohos/1.0.1/easing-interpolator_ohos-1.0.1.jar returned status 404
