1.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.20/arbor-android-1.20.jar returned status 404
1.27.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.27.47/arbor-android-1.27.47.jar returned status 404
1.28.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.28.56/arbor-android-1.28.56.jar returned status 404
1.29.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.29.60/arbor-android-1.29.60.jar returned status 404
1.30.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.30.70/arbor-android-1.30.70.jar returned status 404
1.31.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.31.76/arbor-android-1.31.76.jar returned status 404
1.32.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.32.92/arbor-android-1.32.92.jar returned status 404
1.33.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.33.97/arbor-android-1.33.97.jar returned status 404
1.34.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.34.109/arbor-android-1.34.109.jar returned status 404
1.35.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.35.72/arbor-android-1.35.72.jar returned status 404
1.36.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.36.77/arbor-android-1.36.77.jar returned status 404
1.37.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.37.80/arbor-android-1.37.80.jar returned status 404
1.38.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.38.81/arbor-android-1.38.81.jar returned status 404
1.39.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.39.83/arbor-android-1.39.83.jar returned status 404
1.39.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.39.84/arbor-android-1.39.84.jar returned status 404
1.40.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/1.40.86/arbor-android-1.40.86.jar returned status 404
2.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/2.0.102/arbor-android-2.0.102.jar returned status 404
2.0.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/2.0.103/arbor-android-2.0.103.jar returned status 404
2.0.105			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ToxicBakery/logging/arbor-android/2.0.105/arbor-android-2.0.105.jar returned status 404
