0.0.8	named	io.github.fmcejudo.redlogs	red-log-processor-loki	2024-12-13T12:57:27Z	0.0.8
0.0.9	named	io.github.fmcejudo.redlogs	red-log-processor-loki	2025-01-09T14:37:46Z	0.0.9
0.0.10	named	io.github.fmcejudo.redlogs	red-log-processor-loki	2025-01-09T17:46:49Z	0.0.10
0.0.11	named	io.github.fmcejudo.redlogs	red-log-processor-loki	2025-01-13T08:21:05Z	0.0.11
0.0.12	named	io.github.fmcejudo.redlogs	red-log-processor-loki	2025-01-25T23:53:58Z	0.0.12
0.0.13	named	io.github.fmcejudo.redlogs	red-log-processor-loki	2025-03-19T08:29:27Z	0.0.13
0.0.14	named	io.github.fmcejudo.redlogs	red-log-processor-loki	2025-03-19T18:27:52Z	0.0.14
0.0.15	named	io.github.fmcejudo.redlogs	red-log-processor-loki	2025-04-10T10:46:35Z	0.0.15
