0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.0.1/applovin-mediation-adapter-0.0.1.jar returned status 404
0.1.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.73/applovin-mediation-adapter-0.1.73.jar returned status 404
0.1.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.77/applovin-mediation-adapter-0.1.77.jar returned status 404
0.1.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.78/applovin-mediation-adapter-0.1.78.jar returned status 404
0.1.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.79/applovin-mediation-adapter-0.1.79.jar returned status 404
0.1.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.80/applovin-mediation-adapter-0.1.80.jar returned status 404
0.1.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.81/applovin-mediation-adapter-0.1.81.jar returned status 404
0.1.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.82/applovin-mediation-adapter-0.1.82.jar returned status 404
0.1.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.83/applovin-mediation-adapter-0.1.83.jar returned status 404
0.1.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.84/applovin-mediation-adapter-0.1.84.jar returned status 404
0.1.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.85/applovin-mediation-adapter-0.1.85.jar returned status 404
0.1.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/notix/applovin-mediation-adapter/0.1.86/applovin-mediation-adapter-0.1.86.jar returned status 404
